InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,rejection_reasons
536381,71270,PHOTO CLIP LINE,3,12/1/2010 9:41,1.25,15311,United Kingdom,Duplicate transaction record
C536379,D,Discount,-1,12/1/2010 9:41,27.5,14527,United Kingdom,Quantity is zero or negative
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,12/1/2010 9:49,4.65,15311,United Kingdom,Quantity is zero or negative
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,12/1/2010 10:24,1.65,17548,United Kingdom,Quantity is zero or negative
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,12/1/2010 10:24,0.29,17548,United Kingdom,Quantity is zero or negative
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,12/1/2010 10:24,0.29,17548,United Kingdom,Quantity is zero or negative
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,12/1/2010 10:24,0.29,17548,United Kingdom,Quantity is zero or negative
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,12/1/2010 10:24,3.45,17548,United Kingdom,Quantity is zero or negative
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,12/1/2010 10:24,1.65,17548,United Kingdom,Quantity is zero or negative
C536391,22553,PLASTERS IN TIN SKULLS,-24,12/1/2010 10:24,1.65,17548,United Kingdom,Quantity is zero or negative
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,1,12/1/2010 11:45,6.35,17908,United Kingdom,Duplicate transaction record
536409,85116,BLACK CANDELABRA T-LIGHT HOLDER,5,12/1/2010 11:45,2.1,17908,United Kingdom,Duplicate transaction record
536409,21866,UNION JACK FLAG LUGGAGE TAG,1,12/1/2010 11:45,1.25,17908,United Kingdom,Duplicate transaction record
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,2,12/1/2010 11:45,6.35,17908,United Kingdom,Duplicate transaction record
536409,22866,HAND WARMER SCOTTY DOG DESIGN,1,12/1/2010 11:45,2.1,17908,United Kingdom,Duplicate transaction record
536409,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,12/1/2010 11:45,2.95,17908,United Kingdom,Duplicate transaction record
536409,22111,SCOTTIE DOG HOT WATER BOTTLE,1,12/1/2010 11:45,4.95,17908,United Kingdom,Duplicate transaction record
536412,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,12/1/2010 11:49,2.95,17920,United Kingdom,Duplicate transaction record
536412,22940,FELTCRAFT CHRISTMAS FAIRY,1,12/1/2010 11:49,4.25,17920,United Kingdom,Duplicate transaction record
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,12/1/2010 11:49,3.75,17920,United Kingdom,Duplicate transaction record
